Testo,Codice Lingua
Byzantine-era gold brooch with cloisonné enamel,en
Bronze votive statuette from the Celtic civilization,en
Roman amphora with relief decorations,en
Medieval helmet with a movable visor,en
Olmec jade idol,en
Viking parchment with runic script,en
Egyptian pendant with the Eye of Horus symbol,en
Mayan stone sculpture depicting a priest,en
Decorated vase with mythological scenes from the Minoan civilization,en
Renaissance breastplate in burnished steel,en
Papyrus with sacred texts from Ancient Egypt,en
Ceremonial drum of Native American tribes,en
Medieval knight's spur in wrought iron,en
Mesopotamian cylinder seal with engravings,en
Aztec ritual scepter with turquoise inlays,en
Byzantine mosaic depicting Christ Pantocrator,en
Medieval pilgrim’s flask in terracotta,en
Damascened sword with an ivory hilt,en
Gothic reliquary cross with embedded gems,en
Ceramic plate with Ottoman blue and white decoration,en
Golden bronze Buddha statue from the Tang Dynasty,en
Commemorative medal from the Napoleonic period,en
16th-century hourglass with a brass structure,en
Etruscan funerary urn decorated with banquet scenes,en
Tibetan ritual dagger with silver decorations,en
Pre-Columbian textile with geometric motifs,en
African command staff with ritual carvings,en
Roman marble bas-relief with a battle scene,en
Thracian civilization gold diadem,en
Ancient musical instrument in bone with note holes,en
Crusader knight's helmet with an engraved cross,en
Roman oil lamp depicting Mercury,en
Gold coin from the Persian Empire,en
Glass bottle with golden enamels from the Safavid Dynasty,en
Persian shield with engraved floral decorations,en
Egyptian breastplate with a sacred scarab at the center,en
Greek votive tablet with engraved inscriptions,en
Samurai ceremonial robe in embroidered silk,en
Scythian dagger with a curved blade and animal decorations,en
Celtic-era bronze bracelet,en
Medieval stained glass window depicting saints,en
Terracotta figurine from the Indus Valley civilization,en
Medieval wooden chest with iron studs,en
Viking pendant depicting Thor,en
Papal lead seal with an image of Saint Peter,en
Leather belt with a Lombard bronze buckle,en
Renaissance copper basin engraved with vegetal motifs,en
Crested helmet from the Samnite civilization,en
Marmorstatue eines römischen Kaisers aus dem 2. Jahrhundert,de
Griechische Amphore mit schwarzfigurigen Verzierungen,de
Renaissance-Gemälde der Madonna mit Kind,de
Korinthischer Bronzehelm aus dem 6. Jahrhundert v. Chr.,de
Mittelalterliches Manuskript mit goldenen Miniaturen,de
Gotische Holzskulptur eines Heiligen,de
Wikingerschwert mit verziertem Griff,de
Ägyptische goldene Totenmaske,de
Sumerische Tontafel mit Keilschriftinschriften,de
Chinesische Vase aus der Ming-Dynastie mit blauen und weißen Emaillemalereien,de
Pompejanisches Fresko mit mythologischer Szene,de
Barockharfe aus geschnitztem und vergoldetem Holz,de
Silbermünze aus dem Byzantinischen Reich,de
Komplette Ritterrüstung aus dem 15. Jahrhundert,de
Verzierte neolithische Spinnwirtel,de
Römisches Mosaik mit geometrischen Mustern,de
"Bronzeskulptur, die Herakles darstellt",de
Etruskische Kanne mit Inschriften im etruskischen Alphabet,de
Knochenkamm aus der Wikingerzeit,de
Samuraihelm mit ornamentaler Verzierung,de
Antiker ägyptischer Siegelring,de
Persischer Teppich aus dem 17. Jahrhundert mit Blumenmustern,de
Mittelalterliche Pergamenthandschrift mit Musiknotation,de
Obsidiandolch aus präkolumbianischen Zivilisationen,de
Persische Miniatur mit Jagdszene,de
Terrakotta-Votivfigur aus der Nuraghen-Kultur,de
Hinduistische Götterfigur aus Bronze,de
Barocke Uhrenkassette aus Intarsienholz,de
Phönizische Halskette aus Bernstein und farbigem Glas,de
Verziertes Schild indigener Amazonasvölker,de
Römische Wünschelrute,de
"Mittelalterliches Jagdhorn, kunstvoll geschnitzt",de
"Ägyptisches Diorama, das den Bau einer Pyramide darstellt",de
Elfenbeinporträt aus der napoleonischen Ära,de
Römischer Gladiatorenhelm,de
Präkolumbianischer Dolch mit Klingen aus Bergkristall,de
Gotisches Buntglasfenster mit biblischen Szenen,de
Venezianische Parfümflasche aus mundgeblasenem Glas,de
Bronzeschlüssel einer mittelalterlichen Tür,de
Zylinder mit altägyptischen Hieroglypheninschriften,de
Goldene Tasse der mykenischen Zivilisation,de
Gotisches Reliquiar mit Emaille und Edelsteinen,de
Polierte Steinaxt aus der Steinzeit,de
Langobardische Gold- und Emailfibula,de
Porzellanvase mit Szenen aus dem chinesischen Hofleben,de
Silbernes Wikingerarmband,de
Miniatur-Kriegsszene mit Streitwagen aus der assyrischen Zivilisation,de
Hispano-maurisches Keramikteller aus dem 14. Jahrhundert,de
Afrikanische Ritualmaske aus geschnitztem Holz,de
Barockgemälde mit einer Jagdszene,de
Byzantinische Goldbrosche mit Cloisonné-Emaille,de
Bronzene Votivstatue aus der keltischen Zivilisation,de
Römische Amphore mit Reliefverzierungen,de
Mittelalterlicher Helm mit beweglichem Visier,de
Olmekischer Jade-Idol,de
Wikingerpergament mit Runenschrift,de
Ägyptischer Anhänger mit dem Symbol des Horusauges,de
"Maya-Steinfigur, die einen Priester darstellt",de
Verzierte Vase mit mythologischen Szenen aus der minoischen Zivilisation,de
Renaissance-Brustpanzer aus brüniertem Stahl,de
Papyrus mit heiligen Texten aus dem Alten Ägypten,de
Zeremonielles Trommel der nordamerikanischen Ureinwohner,de
Mittelalterlicher Rittersporn aus Schmiedeeisen,de
Mesopotamischer Zylindersiegel mit Gravuren,de
Aztekisches Ritualzepter mit Türkiseinlagen,de
Byzantinisches Mosaik mit Darstellung von Christus Pantokrator,de
Mittelalterliche Pilgerflasche aus Terrakotta,de
Damaststahl-Schwert mit Elfenbeingriff,de
Gotisches Reliquienkreuz mit eingefassten Edelsteinen,de
Keramikteller mit osmanischer Dekoration in Blau und Weiß,de
Goldene Bronzestatue Buddhas aus der Tang-Dynastie,de
Gedenkmedaille aus der napoleonischen Zeit,de
Sanduhr aus dem 16. Jahrhundert mit Messingrahmen,de
Etruskische Urne mit Bankettszenen verziert,de
Tibetischer Ritualdolch mit Silberverzierungen,de
Präkolumbianischer Stoff mit geometrischen Mustern,de
Afrikanischer Zeremonienstab mit rituellen Schnitzereien,de
Römisches Marmor-Relief mit einer Kampfszene,de
Goldenes Diadem aus der thrakischen Zivilisation,de
Antikes Musikinstrument aus Knochen mit Notenlöchern,de
Kreuzritterhelm mit eingraviertem Kreuz,de
Römische Öllampe mit Merkur-Darstellung,de
Goldmünze aus dem Persischen Reich,de
Glasflasche mit goldenen Emailleverzierungen aus der Safawiden-Dynastie,de
Persischer Schild mit gravierten Blumenmustern,de
Ägyptischer Brustpanzer mit einem heiligen Skarabäus in der Mitte,de
Griechische Votivtafel mit eingravierten Inschriften,de
Samurai-Zeremoniengewand aus bestickter Seide,de
Skythischer Dolch mit gebogener Klinge und Tierverzierungen,de
Bronzearmband aus der keltischen Epoche,de
Mittelalterliches Buntglasfenster mit Heiligendarstellungen,de
Terrakotta-Figur aus der Indus-Kultur,de
Mittelalterliche Holztruhe mit Eisennieten,de
Wikinger-Anhänger mit Darstellung von Thor,de
Päpstliches Bleisiegel mit dem Bild des Heiligen Petrus,de
Leder-Gürtel mit langobardischer Bronzeschließe,de
Renaissance-Kupferbecken mit pflanzlichen Mustern graviert,de
Helm mit Kamm der samnitischen Zivilisation,de
